Date,Team,Acquired,Relinquished,Notes
2022-01-01,Spurs,,Keita Bates-Diop,right hamstring injury (DTD)
2022-01-02,Cavaliers,,Dylan Windler,sore left knee (DTD)
2022-01-02,Mavericks,Frank Ntilikina,,returned to lineup
2022-01-04,Cavaliers,Dylan Windler,,returned to lineup
2022-01-04,Spurs,Keita Bates-Diop,,returned to lineup
2022-01-05,Thunder,,Derrick Favors,sore lower back (DTD)
2022-01-06,Bucks,,Jrue Holiday,NBA health and safety protocols (DTD)
2022-01-06,Knicks,,Ryan Arcidiacono,sprained left ankle (DTD)
2022-01-07,Jazz,,Jordan Clarkson,tightness in lower back (DTD)
2022-01-07,Jazz,,Royce O'Neale,patellar tendinitis in right knee (DTD)
2022-01-08,Jazz,,Elijah Hughes,illness (DTD)
2022-01-08,Jazz,Jordan Clarkson,,returned to lineup
2022-01-08,Jazz,Royce O'Neale,,returned to lineup
2022-01-08,Magic,,Wendell Carter Jr.,left hamstring injury (DTD)
2022-01-09,Kings,,Moe Harkless,sore right ankle (DTD)
2022-01-10,Kings,,Tristan Thompson,right quadricep injury (DTD)
2022-01-10,Kings,Moe Harkless,,returned to lineup
2022-01-10,Suns,,Cameron Johnson,sprained left ankle (DTD)
2022-01-11,Pistons,,Cory Joseph,bruised left knee (DTD)
2022-01-12,Blazers,,Damian Lillard,surgery to repair abdominal injury (out for season)
2022-01-12,Jazz,,Danuel House Jr.,illness (DTD)
2022-01-13,Blazers,,Cody Zeller,right knee injury (DTD)
2022-01-13,Pistons,Cory Joseph,,returned to lineup
2022-01-13,Knicks,Ryan Arcidiacono,,returned to lineup
2022-01-15,Jazz,Danuel House Jr.,,returned to lineup
2022-01-15,Knicks,,Nerlens Noel,sore left knee (DTD)
2022-01-15,Nuggets,,Austin Rivers,illness (DTD)
2022-01-15,Pistons,(Sean) Chris Smith,,returned to lineup
2022-01-15,Raptors,,Scottie Barnes,right knee injury (DTD)
2022-01-16,Raptors,Scottie Barnes,,returned to lineup
2022-01-17,Nets,,DeAndre' Bembry,back spasms (DTD)
2022-01-17,Suns,,Deandre Ayton,sprained right ankle (DTD)
2022-01-17,Suns,Cameron Johnson,,returned to lineup
2022-01-18,Nuggets,Austin Rivers,,returned to lineup
2022-01-18,Warriors,,Andre Iguodala,left hip injury (DTD)
2022-01-19,Pistons,,Killian Hayes,bruised right hip (DTD)
2022-01-19,Thunder,,Derrick Favors,sore lower back (DTD)
2022-01-19,Warriors,,Otto Porter Jr.,left foot injury (DTD)
2022-01-19,Warriors,Andre Iguodala,,returned to lineup
2022-01-19,Knicks,,Ryan Arcidiacono,sprained left ankle (DTD)
2022-01-20,Bulls,,Lonzo Ball,surgery on left knee (out for season)
2022-01-21,Thunder,Derrick Favors,,returned to lineup
2022-01-21,Warriors,Otto Porter Jr.,,returned to lineup
2022-01-22,Bucks,,Grayson Allen,sore left hip (DTD)
2022-01-22,Bulls,,Alex Caruso,fractured right wrist (out indefinitely)
2022-01-23,Hornets,,Gordon Hayward,right foot injury (DTD)
2022-01-23,Magic,,Gary Harris,back spasms (DTD)
2022-01-23,Magic,,Terrence Ross,sore right knee (DTD)
2022-01-23,Nuggets,,Bones Hyland,illness (DTD)
2022-01-23,Suns,,Jae Crowder,left wrist injury (DTD)
2022-01-24,Jazz,,Joe Ingles,sprained right ankle (DTD)
2022-01-24,Jazz,,Royce O'Neale,right knee tendinitis (DTD)
2022-01-24,Nuggets,Bones Hyland,,returned to lineup
2022-01-25,Blazers,,Cody Zeller,surgery on right knee (out indefinitely)
2022-01-25,Jazz,Joe Ingles,,returned to lineup
2022-01-25,Jazz,Royce O'Neale,,returned to lineup
2022-01-25,Magic,Gary Harris,,returned to lineup
2022-01-25,Magic,Terrence Ross,,returned to lineup
2022-01-25,Pelicans,,Devonte' Graham,sore left ankle (DTD)
2022-01-25,Raptors,,Scottie Barnes,right wrist injury (DTD)
2022-01-26,Blazers,,Dennis Smith Jr.,sprained right ankle (DTD)
2022-01-26,Nets,,James Harden,left hamstring injury (DTD)
2022-01-26,Nets,,Nic Claxton,left hamstring injury (DTD)
2022-01-26,Raptors,Scottie Barnes,,returned to lineup
2022-01-26,Rockets,,Usman Garuba,surgery on left wrist (out indefinitely)
2022-01-27,Pelicans,Devonte' Graham,,returned to lineup
2022-01-28,Blazers,Dennis Smith Jr.,,returned to lineup
2022-01-28,Hornets,,Kelly Oubre Jr.,sprained left ankle (DTD)
2022-01-28,Lakers,,Malik Monk,left groin injury (DTD)
2022-01-28,Nets,James Harden,,returned to lineup
2022-01-28,Nets,Nic Claxton,,returned to lineup
2022-01-29,Nets,,James Harden,right hand injury (DTD)
2022-01-29,Warriors,,Nemanja Bjelica,back spasms (DTD)
2022-01-29,Knicks,Ryan Arcidiacono,,returned to lineup
2022-01-30,Lakers,Malik Monk,,returned to lineup
2022-01-31,Heat,,P.J. Tucker,left knee injury (DTD)
2022-01-31,Jazz,,Joe Ingles,torn ACL in left knee (out for season)
2022-01-31,Pacers,,Oshae Brissett,sore right ankle (DTD)
2022-02-01,Heat,P.J. Tucker,,returned to lineup
2022-02-01,Kings,,Terence Davis,surgery on right wrist to repair tendon (out for season)
2022-02-01,Nets,James Harden,,returned to lineup
2022-02-01,Suns,Jae Crowder,,returned to lineup
2022-02-02,76ers,,Seth Curry,back spasms (DTD)
2022-02-02,Hornets,Kelly Oubre Jr.,,returned to lineup
2022-02-02,Jazz,,Hassan Whiteside,strained lower back (DTD)
2022-02-02,Jazz,,Jordan Clarkson,sore right knee (DTD)
2022-02-03,Pistons,,Cade Cunningham,right hip pointer (DTD)
2022-02-04,76ers,Seth Curry,,returned to lineup
2022-02-04,Bulls,,Coby White,strained right adductor (DTD)
2022-02-04,Jazz,Hassan Whiteside,,returned to lineup
2022-02-04,Mavericks,,Maxi Kleber,left knee injury (DTD)
2022-02-04,Nets,,James Harden,tightness in left hamstring (DTD)
2022-02-04,Pacers,Oshae Brissett,,returned to lineup
2022-02-05,Lakers,,Dwight Howard,back injury (DTD)
2022-02-06,76ers,,Matisse Thybulle,sore right shoulder (DTD)
2022-02-06,Nets,,Nic Claxton,left hamstring injury (DTD)
2022-02-07,Bulls,Coby White,,returned to lineup
2022-02-08,76ers,Matisse Thybulle,,returned to lineup
2022-02-08,Mavericks,Maxi Kleber,,returned to lineup
2022-02-08,Warriors,,Andre Iguodala,tightness in lower back (DTD)
2022-02-08,Wizards,,Bradley Beal,surgery on left wrist (out for season)
2022-02-09,Clippers,,Jay Scrubb,surgery on right foot (out for season)
2022-02-09,Grizzlies,,Xavier Tillman,right thigh injury (DTD)
2022-02-09,Lakers,,Russell Westbrook,tightness in lower back (DTD)
2022-02-09,Pelicans,,Larry Nance Jr.,surgery on right knee (out indefinitely)
2022-02-11,Pistons,Cade Cunningham,,returned to lineup
2022-02-11,Jazz,,Danuel House Jr.,sore right shoulder (DTD)
2022-02-12,Kings,,Jeremy Lamb,sore left ankle (DTD)
2022-02-12,Lakers,Russell Westbrook,,returned to lineup
2022-02-13,Jazz,Danuel House Jr.,,returned to lineup
2022-02-13,Nets,Nic Claxton,,returned to lineup
2022-02-13,Pacers,,Chris Duarte,left big toe injury (DTD)
2022-02-13,Pistons,,Frank Jackson,back spasms (DTD)
2022-02-15,Bucks,,Wes Matthews Jr.,toe injury (DTD)
2022-02-15,Heat,,Udonis Haslem,right eye injury (DTD)
2022-02-15,Mavericks,,Trey Burke,sprained left shoulder (DTD)
2022-02-15,Thunder,,Ty Jerome,sore left hip (DTD)
2022-02-16,Pacers,,Goga Bitadze,sore right foot (DTD)
2022-02-17,Bucks,Wes Matthews Jr.,,returned to lineup
2022-02-17,Heat,Udonis Haslem,,returned to lineup
2022-02-17,Hornets,,Nick Richards,sore right foot (DTD)
2022-02-17,Mavericks,,Frank Ntilikina,sore left ankle (DTD)
2022-02-17,Nets,,James Johnson,sore right wrist (DTD)
2022-02-17,76ers,,Jaden Springer,sore left knee (DTD)
2022-02-23,Nets,James Johnson,,returned to lineup
2022-02-24,Kings,,Richaun Holmes,sore back (DTD)
2022-02-24,Mavericks,Frank Ntilikina,,returned to lineup
2022-02-25,Mavericks,Trey Burke,,returned to lineup
2022-02-25,Pacers,Goga Bitadze,,returned to lineup
2022-02-25,Timberwolves,,Malik Beasley,illness (DTD)
2022-02-27,Mavericks,,Frank Ntilikina,sprained right ankle (DTD)
2022-02-28,Pacers,,Malcolm Brogdon,right Achilles injury (DTD)
2022-02-28,Raptors,,Fred VanVleet,sore right knee (DTD)
2022-02-28,Timberwolves,Malik Beasley,,returned to lineup
2022-03-01,Nets,,Andre Drummond,sore left knee (DTD)
2022-03-01,Pacers,Malcolm Brogdon,,returned to lineup
2022-03-01,Pistons,Frank Jackson,,returned to lineup
2022-03-01,Thunder,,Aaron Wiggins,sprained right ankle (DTD)
2022-03-01,Timberwolves,,Anthony Edwards,patella tendinopathy in left knee (DTD)
2022-03-01,Warriors,,Nemanja Bjelica,bruised right quadriceps (DTD)
2022-03-02,Pacers,,Chris Duarte,left big toe injury (DTD)
2022-03-02,Thunder,,Derrick Favors,sore lower back (DTD)
2022-03-02,Warriors,Nemanja Bjelica,,returned to lineup
2022-03-03,Lakers,,Talen Horton-Tucker,sprained left ankle (DTD)
2022-03-03,Mavericks,Frank Ntilikina,,returned to lineup
2022-03-03,Nets,Andre Drummond,,returned to lineup
2022-03-04,Pacers,,Goga Bitadze,sore right foot (DTD)
2022-03-05,Blazers,,Greg Brown III,illness (DTD)
2022-03-05,Kings,,Jeremy Lamb,sore left hip (DTD)
2022-03-05,Lakers,Talen Horton-Tucker,,returned to lineup
2022-03-06,Blazers,,Anfernee Simons,bruised left quadricep (DTD)
2022-03-06,Knicks,,Taj Gibson,illness (DTD)
2022-03-06,Pacers,,Lance Stephenson,sprained left ankle (DTD)
2022-03-06,Pacers,Goga Bitadze,,returned to lineup
2022-03-06,Thunder,Aaron Wiggins,,returned to lineup
2022-03-07,Blazers,Greg Brown III,,returned to lineup
2022-03-07,Knicks,Taj Gibson,,returned to lineup
2022-03-07,Lakers,,LeBron James,sore left knee (DTD)
2022-03-07,Pistons,,Hamidou Diallo,illness (DTD)
2022-03-07,Warriors,,Otto Porter Jr.,illness (DTD)
2022-03-08,Pacers,Chris Duarte,,returned to lineup
2022-03-08,Pistons,Hamidou Diallo,,returned to lineup
2022-03-08,Thunder,,Mike Muscala,surgery on right ankle (out for season)
2022-03-08,Thunder,,Ty Jerome,surgery to repair sports hernia (out for season)
2022-03-09,Hornets,,Jalen McDaniels,sore left ankle (DTD)
2022-03-09,Lakers,,Talen Horton-Tucker,sprained left ankle (DTD)
2022-03-09,Lakers,LeBron James,,returned to lineup
2022-03-09,Nuggets,,Bones Hyland,sore right knee (DTD)
2022-03-09,Thunder,,Tre Mann,sprained left ankle (DTD)
2022-03-10,Nuggets,Bones Hyland,,returned to lineup
2022-03-10,Pistons,,(Sean) Chris Smith,sprained left knee (DTD)
2022-03-10,Pistons,,Rodney McGruder,strained left hamstring (DTD)
2022-03-11,Hornets,Jalen McDaniels,,returned to lineup
2022-03-11,Lakers,Talen Horton-Tucker,,returned to lineup
2022-03-11,Mavericks,,Dorian Finney-Smith,right arm injury (DTD)
2022-03-12,Jazz,,Rudy Gobert,strained left foot (DTD)
2022-03-12,Spurs,,Joe Wieskamp,illness (DTD)
2022-03-13,Mavericks,Dorian Finney-Smith,,returned to lineup
2022-03-13,Nets,,Seth Curry,sore left ankle (DTD)
2022-03-13,Pacers,,Chris Duarte,left big toe injury (DTD)
2022-03-13,Pacers,,Goga Bitadze,sore right foot (DTD)
2022-03-13,Rockets,,Eric Gordon,right knee tendinitis (DTD)
2022-03-13,Thunder,,Aaron Wiggins,illness (DTD)
2022-03-13,Thunder,Tre Mann,,returned to lineup
2022-03-14,Jazz,Rudy Gobert,,returned to lineup
